schema_name,proname,oid,identity_args,prokind,prosecdef,owner,proacl,proconfig,search_path_pinned,search_path_value,rolsuper,rolcreaterole,rolcreatedb,rolbypassrls
public,admin_delete_venue_species_stock,19487,p_id uuid,f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_get_venue_by_slug,19508,p_slug text,f,true,postgres,"{postgres=X/postgres,service_role=X/postgres,authenticated=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_get_venue_events,19314,p_venue_id uuid,f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_get_venues,19636,"p_search text, p_limit integer, p_offset integer",f,false,postgres,"{postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_list_moderation_log,19190,"p_user_id uuid, p_action text, p_search text, p_from timestamp with time zone, p_to timestamp with time zone, p_sort_direction text, p_limit integer, p_offset integer",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_list_reports,19188,"p_status text, p_type text, p_reported_user_id uuid, p_from timestamp with time zone, p_to timestamp with time zone, p_sort_direction text, p_limit integer, p_offset integer",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_remove_venue_owner,19216,"p_venue_id uuid, p_user_id uuid",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_restore_catch,18907,"p_catch_id uuid, p_reason text",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_restore_comment,18909,"p_comment_id uuid, p_reason text",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_set_venue_photo_primary,19493,p_photo_id uuid,f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_update_report_status,19189,"p_report_id uuid, p_status text, p_resolution_notes text",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_update_venue_booking,19413,"p_venue_id uuid, p_booking_enabled boolean",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_update_venue_event,19312,"p_event_id uuid, p_venue_id uuid, p_title text, p_event_type text, p_starts_at timestamp with time zone, p_ends_at timestamp with time zone, p_description text, p_ticket_info text, p_website_url text, p_booking_url text, p_is_published boolean",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_update_venue_metadata,19446,"p_venue_id uuid, p_short_tagline text, p_description text, p_ticket_type text, p_price_from text, p_best_for_tags text[], p_facilities text[], p_website_url text, p_booking_url text, p_contact_phone text, p_notes_for_rr_team text, p_payment_methods text[], p_payment_notes text",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_update_venue_metadata,19167,"p_venue_id uuid, p_short_tagline text, p_ticket_type text, p_price_from text, p_best_for_tags text[], p_facilities text[], p_website_url text, p_booking_url text, p_contact_phone text, p_notes_for_rr_team text",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_update_venue_opening_hour,19418,"p_id uuid, p_venue_id uuid, p_label text, p_day_of_week smallint, p_opens_at time without time zone, p_closes_at time without time zone, p_is_closed boolean, p_order_index integer",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
public,admin_update_venue_pricing_tier,19450,"p_id uuid, p_venue_id uuid, p_label text, p_price text, p_unit text, p_audience venue_pricing_audience, p_order_index integer",f,true,postgres,"{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}","[""search_path=public, extensions""]",true,"public, extensions",false,true,true,true
