object_type,schema_name,object_name,grantee,privilege_type,is_grantable
column,storage,objects.version,authenticated,REFERENCES,NO
column,storage,objects.version,authenticated,UPDATE,NO
column,storage,prefixes.bucket_id,anon,INSERT,NO
column,storage,prefixes.bucket_id,anon,REFERENCES,NO
column,storage,prefixes.bucket_id,anon,UPDATE,NO
column,storage,prefixes.bucket_id,authenticated,INSERT,NO
column,storage,prefixes.bucket_id,authenticated,REFERENCES,NO
column,storage,prefixes.bucket_id,authenticated,UPDATE,NO
column,storage,prefixes.created_at,anon,INSERT,NO
column,storage,prefixes.created_at,anon,REFERENCES,NO
column,storage,prefixes.created_at,anon,UPDATE,NO
column,storage,prefixes.created_at,authenticated,INSERT,NO
column,storage,prefixes.created_at,authenticated,REFERENCES,NO
column,storage,prefixes.created_at,authenticated,UPDATE,NO
column,storage,prefixes.level,anon,INSERT,NO
column,storage,prefixes.level,anon,REFERENCES,NO
column,storage,prefixes.level,anon,UPDATE,NO
column,storage,prefixes.level,authenticated,INSERT,NO
column,storage,prefixes.level,authenticated,REFERENCES,NO
column,storage,prefixes.level,authenticated,UPDATE,NO
column,storage,prefixes.name,anon,INSERT,NO
column,storage,prefixes.name,anon,REFERENCES,NO
column,storage,prefixes.name,anon,UPDATE,NO
column,storage,prefixes.name,authenticated,INSERT,NO
column,storage,prefixes.name,authenticated,REFERENCES,NO
column,storage,prefixes.name,authenticated,UPDATE,NO
column,storage,prefixes.updated_at,anon,INSERT,NO
column,storage,prefixes.updated_at,anon,REFERENCES,NO
column,storage,prefixes.updated_at,anon,UPDATE,NO
column,storage,prefixes.updated_at,authenticated,INSERT,NO
column,storage,prefixes.updated_at,authenticated,REFERENCES,NO
column,storage,prefixes.updated_at,authenticated,UPDATE,NO
column,supabase_functions,hooks.created_at,anon,INSERT,NO
column,supabase_functions,hooks.created_at,anon,REFERENCES,NO
column,supabase_functions,hooks.created_at,anon,UPDATE,NO
column,supabase_functions,hooks.created_at,authenticated,INSERT,NO
column,supabase_functions,hooks.created_at,authenticated,REFERENCES,NO
column,supabase_functions,hooks.created_at,authenticated,UPDATE,NO
column,supabase_functions,hooks.hook_name,anon,INSERT,NO
column,supabase_functions,hooks.hook_name,anon,REFERENCES,NO
column,supabase_functions,hooks.hook_name,anon,UPDATE,NO
column,supabase_functions,hooks.hook_name,authenticated,INSERT,NO
column,supabase_functions,hooks.hook_name,authenticated,REFERENCES,NO
column,supabase_functions,hooks.hook_name,authenticated,UPDATE,NO
column,supabase_functions,hooks.hook_table_id,anon,INSERT,NO
column,supabase_functions,hooks.hook_table_id,anon,REFERENCES,NO
column,supabase_functions,hooks.hook_table_id,anon,UPDATE,NO
column,supabase_functions,hooks.hook_table_id,authenticated,INSERT,NO
column,supabase_functions,hooks.hook_table_id,authenticated,REFERENCES,NO
column,supabase_functions,hooks.hook_table_id,authenticated,UPDATE,NO
column,supabase_functions,hooks.id,anon,INSERT,NO
column,supabase_functions,hooks.id,anon,REFERENCES,NO
column,supabase_functions,hooks.id,anon,UPDATE,NO
column,supabase_functions,hooks.id,authenticated,INSERT,NO
column,supabase_functions,hooks.id,authenticated,REFERENCES,NO
column,supabase_functions,hooks.id,authenticated,UPDATE,NO
column,supabase_functions,hooks.request_id,anon,INSERT,NO
column,supabase_functions,hooks.request_id,anon,REFERENCES,NO
column,supabase_functions,hooks.request_id,anon,UPDATE,NO
column,supabase_functions,hooks.request_id,authenticated,INSERT,NO
column,supabase_functions,hooks.request_id,authenticated,REFERENCES,NO
column,supabase_functions,hooks.request_id,authenticated,UPDATE,NO
column,supabase_functions,migrations.inserted_at,anon,INSERT,NO
column,supabase_functions,migrations.inserted_at,anon,REFERENCES,NO
column,supabase_functions,migrations.inserted_at,anon,UPDATE,NO
column,supabase_functions,migrations.inserted_at,authenticated,INSERT,NO
column,supabase_functions,migrations.inserted_at,authenticated,REFERENCES,NO
column,supabase_functions,migrations.inserted_at,authenticated,UPDATE,NO
column,supabase_functions,migrations.version,anon,INSERT,NO
column,supabase_functions,migrations.version,anon,REFERENCES,NO
column,supabase_functions,migrations.version,anon,UPDATE,NO
column,supabase_functions,migrations.version,authenticated,INSERT,NO
column,supabase_functions,migrations.version,authenticated,REFERENCES,NO
column,supabase_functions,migrations.version,authenticated,UPDATE,NO
sequence,graphql,seq_schema_version,anon,UPDATE,false
sequence,graphql,seq_schema_version,authenticated,UPDATE,false
