record_type,schema_name,function_name,identity_args,prokind,is_security_definer,owner_role,language,search_path_value,search_path_pinned,proacl_text,grantee,privilege_type
execute_grant,extensions,texticnlike,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,texticregexeq,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,texticregexeq,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,texticregexeq,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,texticregexeq,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,texticregexne,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,texticregexne,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,texticregexne,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,texticregexne,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,translate,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,translate,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,uuid_generate_v1,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,uuid_generate_v1,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,uuid_generate_v1mc,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,uuid_generate_v1mc,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,uuid_generate_v3,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,uuid_generate_v3,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,uuid_generate_v4,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,uuid_generate_v4,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,uuid_generate_v5,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,uuid_generate_v5,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,uuid_nil,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,uuid_nil,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,uuid_ns_dns,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,uuid_ns_dns,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,uuid_ns_oid,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,uuid_ns_oid,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,uuid_ns_url,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,uuid_ns_url,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,uuid_ns_x500,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,uuid_ns_x500,,,,,,,,,postgres,EXECUTE
execute_grant,graphql,_internal_resolve,,,,,,,,,PUBLIC,EXECUTE
execute_grant,graphql,_internal_resolve,,,,,,,,,anon,EXECUTE
execute_grant,graphql,_internal_resolve,,,,,,,,,authenticated,EXECUTE
execute_grant,graphql,_internal_resolve,,,,,,,,,postgres,EXECUTE
execute_grant,graphql,_internal_resolve,,,,,,,,,service_role,EXECUTE
execute_grant,graphql,comment_directive,,,,,,,,,PUBLIC,EXECUTE
execute_grant,graphql,comment_directive,,,,,,,,,anon,EXECUTE
execute_grant,graphql,comment_directive,,,,,,,,,authenticated,EXECUTE
execute_grant,graphql,comment_directive,,,,,,,,,postgres,EXECUTE
execute_grant,graphql,comment_directive,,,,,,,,,service_role,EXECUTE
execute_grant,graphql,exception,,,,,,,,,PUBLIC,EXECUTE
execute_grant,graphql,exception,,,,,,,,,anon,EXECUTE
execute_grant,graphql,exception,,,,,,,,,authenticated,EXECUTE
execute_grant,graphql,exception,,,,,,,,,postgres,EXECUTE
execute_grant,graphql,exception,,,,,,,,,service_role,EXECUTE
execute_grant,graphql,get_schema_version,,,,,,,,,PUBLIC,EXECUTE
execute_grant,graphql,get_schema_version,,,,,,,,,anon,EXECUTE
execute_grant,graphql,get_schema_version,,,,,,,,,authenticated,EXECUTE
execute_grant,graphql,get_schema_version,,,,,,,,,postgres,EXECUTE
execute_grant,graphql,get_schema_version,,,,,,,,,service_role,EXECUTE
execute_grant,graphql,increment_schema_version,,,,,,,,,PUBLIC,EXECUTE
execute_grant,graphql,increment_schema_version,,,,,,,,,anon,EXECUTE
execute_grant,graphql,increment_schema_version,,,,,,,,,authenticated,EXECUTE
execute_grant,graphql,increment_schema_version,,,,,,,,,postgres,EXECUTE
execute_grant,graphql,increment_schema_version,,,,,,,,,service_role,EXECUTE
execute_grant,graphql,resolve,,,,,,,,,PUBLIC,EXECUTE
execute_grant,graphql,resolve,,,,,,,,,anon,EXECUTE
execute_grant,graphql,resolve,,,,,,,,,authenticated,EXECUTE
execute_grant,graphql,resolve,,,,,,,,,postgres,EXECUTE
execute_grant,graphql,resolve,,,,,,,,,service_role,EXECUTE
execute_grant,graphql_public,graphql,,,,,,,,,PUBLIC,EXECUTE
execute_grant,graphql_public,graphql,,,,,,,,,anon,EXECUTE
execute_grant,graphql_public,graphql,,,,,,,,,authenticated,EXECUTE
execute_grant,graphql_public,graphql,,,,,,,,,postgres,EXECUTE
execute_grant,graphql_public,graphql,,,,,,,,,service_role,EXECUTE
execute_grant,net,_await_response,,,,,,,,,PUBLIC,EXECUTE
execute_grant,net,_encode_url_with_params_array,,,,,,,,,PUBLIC,EXECUTE
execute_grant,net,_http_collect_response,,,,,,,,,PUBLIC,EXECUTE
execute_grant,net,_urlencode_string,,,,,,,,,PUBLIC,EXECUTE
execute_grant,net,check_worker_is_up,,,,,,,,,PUBLIC,EXECUTE
execute_grant,net,http_collect_response,,,,,,,,,PUBLIC,EXECUTE
