record_type,schema_name,relation_name,relkind,owner_role,relrowsecurity,relforcerowsecurity,policy_count,gate_id,gate_reason,grantee,privilege_type
gate,net,http_request_queue,r,supabase_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,PUBLIC,INSERT
gate,net,http_request_queue,r,supabase_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,PUBLIC,REFERENCES
gate,net,http_request_queue,r,supabase_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,PUBLIC,SELECT
gate,net,http_request_queue,r,supabase_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,PUBLIC,TRIGGER
gate,net,http_request_queue,r,supabase_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,PUBLIC,TRUNCATE
gate,net,http_request_queue,r,supabase_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,PUBLIC,UPDATE
gate,realtime,messages,p,supabase_realtime_admin,t,f,0,GATE_RLS_ENABLED_NO_POLICIES,RLS enabled but no policies,,
gate,realtime,schema_migrations,r,supabase_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,anon,SELECT
gate,realtime,schema_migrations,r,supabase_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,authenticated,SELECT
gate,realtime,subscription,r,supabase_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,anon,SELECT
gate,realtime,subscription,r,supabase_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,authenticated,SELECT
gate,storage,buckets,r,supabase_storage_admin,t,f,0,GATE_RLS_ENABLED_NO_POLICIES,RLS enabled but no policies,,
gate,storage,buckets_analytics,r,supabase_storage_admin,t,f,0,GATE_RLS_ENABLED_NO_POLICIES,RLS enabled but no policies,,
gate,storage,buckets_vectors,r,supabase_storage_admin,t,f,0,GATE_RLS_ENABLED_NO_POLICIES,RLS enabled but no policies,,
gate,storage,iceberg_namespaces,r,supabase_storage_admin,t,f,0,GATE_RLS_ENABLED_NO_POLICIES,RLS enabled but no policies,,
gate,storage,iceberg_tables,r,supabase_storage_admin,t,f,0,GATE_RLS_ENABLED_NO_POLICIES,RLS enabled but no policies,,
gate,storage,migrations,r,supabase_storage_admin,t,f,0,GATE_RLS_ENABLED_NO_POLICIES,RLS enabled but no policies,,
gate,storage,prefixes,r,supabase_storage_admin,t,f,0,GATE_RLS_ENABLED_NO_POLICIES,RLS enabled but no policies,,
gate,storage,s3_multipart_uploads,r,supabase_storage_admin,t,f,0,GATE_RLS_ENABLED_NO_POLICIES,RLS enabled but no policies,,
gate,storage,s3_multipart_uploads_parts,r,supabase_storage_admin,t,f,0,GATE_RLS_ENABLED_NO_POLICIES,RLS enabled but no policies,,
gate,storage,vector_indexes,r,supabase_storage_admin,t,f,0,GATE_RLS_ENABLED_NO_POLICIES,RLS enabled but no policies,,
gate,supabase_functions,hooks,r,supabase_functions_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,anon,DELETE
gate,supabase_functions,hooks,r,supabase_functions_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,anon,INSERT
gate,supabase_functions,hooks,r,supabase_functions_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,anon,REFERENCES
gate,supabase_functions,hooks,r,supabase_functions_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,anon,SELECT
gate,supabase_functions,hooks,r,supabase_functions_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,anon,TRIGGER
gate,supabase_functions,hooks,r,supabase_functions_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,anon,TRUNCATE
gate,supabase_functions,hooks,r,supabase_functions_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,anon,UPDATE
gate,supabase_functions,hooks,r,supabase_functions_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,authenticated,DELETE
gate,supabase_functions,hooks,r,supabase_functions_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,authenticated,INSERT
gate,supabase_functions,hooks,r,supabase_functions_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,authenticated,REFERENCES
gate,supabase_functions,hooks,r,supabase_functions_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,authenticated,SELECT
gate,supabase_functions,hooks,r,supabase_functions_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,authenticated,TRIGGER
gate,supabase_functions,hooks,r,supabase_functions_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,authenticated,TRUNCATE
gate,supabase_functions,hooks,r,supabase_functions_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,authenticated,UPDATE
gate,supabase_functions,migrations,r,supabase_functions_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,anon,DELETE
gate,supabase_functions,migrations,r,supabase_functions_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,anon,INSERT
gate,supabase_functions,migrations,r,supabase_functions_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,anon,REFERENCES
gate,supabase_functions,migrations,r,supabase_functions_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,anon,SELECT
gate,supabase_functions,migrations,r,supabase_functions_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,anon,TRIGGER
gate,supabase_functions,migrations,r,supabase_functions_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,anon,TRUNCATE
gate,supabase_functions,migrations,r,supabase_functions_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,anon,UPDATE
gate,supabase_functions,migrations,r,supabase_functions_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,authenticated,DELETE
gate,supabase_functions,migrations,r,supabase_functions_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,authenticated,INSERT
gate,supabase_functions,migrations,r,supabase_functions_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,authenticated,REFERENCES
gate,supabase_functions,migrations,r,supabase_functions_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,authenticated,SELECT
gate,supabase_functions,migrations,r,supabase_functions_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,authenticated,TRIGGER
gate,supabase_functions,migrations,r,supabase_functions_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,authenticated,TRUNCATE
gate,supabase_functions,migrations,r,supabase_functions_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,authenticated,UPDATE
