schema_name,function_name,identity_args,referenced_in_policies,referenced_in_views,referenced_in_triggers
public,admin_set_venue_photo_primary,p_photo_id uuid,f,f,f
public,admin_update_report_status,"p_report_id uuid, p_status text, p_resolution_notes text",f,f,f
public,admin_update_venue_booking,"p_venue_id uuid, p_booking_enabled boolean",f,f,f
public,admin_update_venue_event,"p_event_id uuid, p_venue_id uuid, p_title text, p_event_type text, p_starts_at timestamp with time zone, p_ends_at timestamp with time zone, p_description text, p_ticket_info text, p_website_url text, p_booking_url text, p_is_published boolean",f,f,f
public,admin_update_venue_metadata,"p_venue_id uuid, p_short_tagline text, p_description text, p_ticket_type text, p_price_from text, p_best_for_tags text[], p_facilities text[], p_website_url text, p_booking_url text, p_contact_phone text, p_notes_for_rr_team text, p_payment_methods text[], p_payment_notes text",f,f,f
public,admin_update_venue_metadata,"p_venue_id uuid, p_short_tagline text, p_ticket_type text, p_price_from text, p_best_for_tags text[], p_facilities text[], p_website_url text, p_booking_url text, p_contact_phone text, p_notes_for_rr_team text",f,f,f
public,admin_update_venue_opening_hour,"p_id uuid, p_venue_id uuid, p_label text, p_day_of_week smallint, p_opens_at time without time zone, p_closes_at time without time zone, p_is_closed boolean, p_order_index integer",f,f,f
public,admin_update_venue_pricing_tier,"p_id uuid, p_venue_id uuid, p_label text, p_price text, p_unit text, p_audience venue_pricing_audience, p_order_index integer",f,f,f
public,admin_update_venue_rules,"p_venue_id uuid, p_rules_text text",f,f,f
public,admin_update_venue_species_stock,"p_id uuid, p_venue_id uuid, p_species_name text, p_record_weight numeric, p_record_unit text, p_avg_weight numeric, p_size_range_min numeric, p_size_range_max numeric, p_stock_density venue_stock_density, p_stock_notes text",f,f,f
public,admin_warn_user,"p_user_id uuid, p_reason text, p_severity warning_severity, p_duration_hours integer",f,f,f
public,assert_moderation_allowed,p_user_id uuid,f,f,f
public,block_profile,"p_blocked_id uuid, p_reason text",f,f,f
public,check_email_exists,email_to_check text,f,f,f
public,check_rate_limit,"p_user_id uuid, p_action text, p_max_attempts integer, p_window_minutes integer",f,f,f
public,cleanup_rate_limits,,f,f,f
public,community_stats_handle_catches_change,,f,f,t
public,create_comment_with_rate_limit,"p_catch_id uuid, p_body text, p_parent_comment_id uuid",f,f,f
public,create_notification,"p_user_id uuid, p_message text, p_type notification_type, p_actor_id uuid, p_catch_id uuid, p_comment_id uuid, p_extra_data jsonb",f,f,f
public,create_report_with_rate_limit,"p_target_type report_target_type, p_target_id uuid, p_reason text, p_details text",f,f,f
public,enforce_catch_moderation,,f,f,t
public,enforce_catch_rate_limit,,f,f,t
public,enforce_comment_rate_limit,,f,f,t
public,enforce_report_rate_limit,,f,f,t
public,follow_profile_with_rate_limit,p_following_id uuid,f,f,f
public,get_catch_rating_summary,p_catch_id uuid,f,f,f
public,get_community_stats,,f,f,f
public,get_feed_catches,"p_limit integer, p_offset integer, p_scope text, p_sort text, p_species text, p_custom_species text, p_venue_id uuid, p_session_id uuid",f,f,f
public,get_follower_count,p_profile_id uuid,f,f,f
public,get_insights_aggregates,"p_date_preset text, p_custom_start timestamp with time zone, p_custom_end timestamp with time zone, p_selected_session_id uuid, p_selected_venue text",f,f,f
public,get_leaderboard_scores,"p_species_slug text, p_limit integer",f,f,f
public,get_my_venue_rating,p_venue_id uuid,f,f,f
public,get_profile_for_profile_page,p_username text,f,f,f
public,get_rate_limit_status,"p_user_id uuid, p_action text, p_max_attempts integer, p_window_minutes integer",f,f,f
public,get_species_options,"p_only_active boolean, p_only_with_catches boolean",f,f,f
public,get_venue_by_slug,p_slug text,f,f,f
public,get_venue_past_events,"p_venue_id uuid, p_now timestamp with time zone, p_limit integer, p_offset integer",f,f,f
public,get_venue_photos,"p_venue_id uuid, p_limit integer, p_offset integer",f,f,f
public,get_venue_recent_catches,"p_venue_id uuid, p_limit integer, p_offset integer",f,f,f
public,get_venue_top_anglers,"p_venue_id uuid, p_limit integer",f,f,f
public,get_venue_top_catches,"p_venue_id uuid, p_limit integer",f,f,f
public,get_venue_upcoming_events,"p_venue_id uuid, p_now timestamp with time zone, p_limit integer",f,f,f
public,get_venues,"p_search text, p_limit integer, p_offset integer",f,f,f
public,handle_catches_leaderboard_change,,f,f,t
public,handle_new_user,,f,f,t
public,handle_ratings_leaderboard_change,,f,f,t
public,insights_format_label,value text,f,f,f
public,is_admin,p_user_id uuid,t,t,f
public,is_blocked_either_way,"p_user_id uuid, p_other_id uuid",t,t,f
public,is_following,"p_follower uuid, p_following uuid",t,f,f
public,is_venue_admin_or_owner,p_venue_id uuid,t,f,f
public,notify_admins_for_report,"p_report_id uuid, p_message text, p_extra_data jsonb",f,f,f
public,owner_add_venue_photo,"p_venue_id uuid, p_image_path text, p_caption text",f,f,f
public,owner_create_venue_event,"p_venue_id uuid, p_title text, p_event_type text, p_starts_at timestamp with time zone, p_ends_at timestamp with time zone, p_description text, p_ticket_info text, p_website_url text, p_booking_url text, p_contact_phone text, p_is_published boolean",f,f,f
public,owner_create_venue_opening_hour,"p_venue_id uuid, p_label text, p_day_of_week smallint, p_opens_at time without time zone, p_closes_at time without time zone, p_is_closed boolean, p_order_index integer",f,f,f
public,owner_create_venue_pricing_tier,"p_venue_id uuid, p_label text, p_price text, p_unit text, p_audience venue_pricing_audience, p_order_index integer",f,f,f
public,owner_create_venue_species_stock,"p_venue_id uuid, p_species_name text, p_record_weight numeric, p_record_unit text, p_avg_weight numeric, p_size_range_min numeric, p_size_range_max numeric, p_stock_density venue_stock_density, p_stock_notes text",f,f,f
public,owner_delete_venue_event,p_event_id uuid,f,f,f
public,owner_delete_venue_opening_hour,p_id uuid,f,f,f
public,owner_delete_venue_photo,p_id uuid,f,f,f
public,owner_delete_venue_pricing_tier,p_id uuid,f,f,f
public,owner_delete_venue_species_stock,p_id uuid,f,f,f
public,owner_get_venue_by_slug,p_slug text,f,f,f
public,owner_get_venue_events,p_venue_id uuid,f,f,f
public,owner_set_venue_photo_primary,p_photo_id uuid,f,f,f
public,owner_update_venue_booking,"p_venue_id uuid, p_booking_enabled boolean",f,f,f
public,owner_update_venue_event,"p_event_id uuid, p_title text, p_event_type text, p_starts_at timestamp with time zone, p_ends_at timestamp with time zone, p_description text, p_ticket_info text, p_website_url text, p_booking_url text, p_contact_phone text, p_is_published boolean",f,f,f
public,owner_update_venue_metadata,"p_venue_id uuid, p_tagline text, p_description text, p_ticket_type text, p_best_for_tags text[], p_facilities text[], p_price_from text, p_website_url text, p_booking_url text, p_contact_phone text, p_payment_methods text[], p_payment_notes text",f,f,f
public,owner_update_venue_opening_hour,"p_id uuid, p_venue_id uuid, p_label text, p_day_of_week smallint, p_opens_at time without time zone, p_closes_at time without time zone, p_is_closed boolean, p_order_index integer",f,f,f
public,owner_update_venue_pricing_tier,"p_id uuid, p_venue_id uuid, p_label text, p_price text, p_unit text, p_audience venue_pricing_audience, p_order_index integer",f,f,f
public,owner_update_venue_rules,"p_venue_id uuid, p_rules_text text",f,f,f
public,owner_update_venue_species_stock,"p_id uuid, p_venue_id uuid, p_species_name text, p_record_weight numeric, p_record_unit text, p_avg_weight numeric, p_size_range_min numeric, p_size_range_max numeric, p_stock_density venue_stock_density, p_stock_notes text",f,f,f
public,rate_catch_with_rate_limit,"p_catch_id uuid, p_rating integer",f,f,f
public,react_to_catch_with_rate_limit,"p_catch_id uuid, p_reaction text",f,f,f
public,refresh_leaderboard_precompute,p_catch_id uuid,f,f,f
public,request_account_deletion,p_reason text,f,f,f
public,request_account_export,,f,f,f
public,set_comment_admin_author,,f,f,t
public,set_updated_at,,f,f,t
public,soft_delete_comment,p_comment_id uuid,f,f,f
public,unblock_profile,p_blocked_id uuid,f,f,f
public,upsert_venue_rating,"p_venue_id uuid, p_rating integer",f,f,f
public,user_rate_limits,,f,f,f
public,user_rate_limits,p_user_id uuid,f,f,f
